Week,Post Type,Channel,Creative Asset,Theme,Post Copy,CTA
1,Launch carousel,Instagram/Facebook,public/cartoons/van1.jpeg,Campaign launch,"Meet the GEO Gas Superheroes: everyday engineers helping homes stay warm, safe and moving. 24/7 peace of mind, Gas Safe registered support, and plans from GBP19/month.","Call 01444 212395"
1,Giveaway post,Instagram/Facebook,public/cartoons/comics/comic-gas-leak-plumbing-hero-grid-yellow-bg.png,Carbon monoxide alarm raffle,"We are giving away a carbon monoxide alarm to help one local home stay safer. Follow, like, comment HERO and tag someone local to enter.","Comment HERO"
1,Story poll,Instagram,public/cartoons/van1.jpeg,Engagement,"What would you want a home emergency hero to fix first: boiler, plumbing, drains or gas safety?","Vote in story"
2,Comic carousel,Instagram/Facebook,public/cartoons/generated-action/aaron-fixing-boiler-diagnostics.png,Boiler breakdown,"No heating? No hot water? GEO Gas diagnose boiler problems and help get homes back on track safely.","Message GEO Gas"
2,Behind the scenes,Instagram/Facebook,public/video/WhatsApp Image 2026-02-09 at 16.54.43.jpeg,Real job proof,"Real checks. Real tools. Real peace of mind. Boiler servicing and diagnostics from Gas Safe registered engineers.","Book a service"
2,Reel,Instagram,public/cartoons/generated-action/james-fixing-pressure-top-up.png,Pressure issue,"Boiler pressure dropped again? That is your cue to call in the everyday heroes.","Call now"
3,Comic carousel,Instagram/Facebook,public/cartoons/comics/aaronLeak.png,Gas safety,"Gas safety is not comic-book make-believe. If you suspect a gas emergency, call 0800 111 999 first, then speak to qualified engineers for inspection and repair support.","Save this post"
3,Offer post,Facebook,public/cartoons/van1.jpeg,Monthly plans,"Avoid surprise breakdown stress with home service contracts from GBP19/month, including a 24/7 helpline and annual boiler service.","Get a quote"
3,Character spotlight,Instagram,public/cartoons/aaron_hero.jpg,Team trust,"Meet Aaron, founder and hands-on engineering lead behind GEO Gas service standards.","Meet the team"
4,Comic carousel,Instagram/Facebook,public/cartoons/generated-action/sophia-fixing-pump-replacement.png,Service coordination,"The hero work starts before the engineer arrives: clear booking, job notes, updates and follow-through.","Message us"
4,Landlord post,Facebook,public/cartoons/generated-action/geo-tech-fixing-service-visit.png,Landlord certificates,"Landlord Gas Safety inspection due? GEO Gas can help with inspections, certificates and service bundles.","Book inspection"
4,Retargeting ad,Instagram/Facebook,public/cartoons/van1.jpeg,Conversion,"Heating, plumbing, drainage and gas support from the everyday heroes. Plans from GBP19/month.","Call 01444 212395"
